0,Ver 2.00,NULL,0
1,Copyright 2021-2023 Outside Sotonohito.,NULL,0
2,文字測試,如夢似幻,0
3,大家好~我是愛麗絲 香草！我主要進行,COSPLAY風格彈幕戰，點點關注點點贊，謝謝！,0
4,優莉可可奈desu。如果用動物來比喻的話，,我應該是黑貓吧……？,0
5,我是UJAKO。如果你想看技術主播的話，,看我就對了。,0
6,【散射模式】,以更寬的角度散佈火力。,0
7,【誘導模式】,子彈會自動追蹤敵人。,0
8,【鎖定模式】,直接向敵人所在方向發射導彈。,0
9,【聚焦模式】,向前密集地發射導彈。,0
10,【胡蘿蔔轟擊炮】,向浮游炮單元朝向方位發射炸彈。,0
11,【活力炸彈】,向自機前方發射炸彈。,0
12,【直線模式】,向正面射擊。,0
13,【偏轉模式】,左右移動會改變射擊的方向。,0
14,【聚焦模式】,向正面密集地發射導彈。,0
15,【誘導模式】,導彈會自動追蹤敵人。,0
16,【攻擊性發言】,從浮游炮單元連續發射高威力子彈。,0
17,【暗黑暴走】,在一定時間内射擊和導彈威力大幅上升。,0
18,【偏轉模式】,左右移動會改變射擊的方向。,0
19,【直線模式】,向正面射擊。,0
20,【定角模式】,低速模式下鎖定浮游炮單元射擊角度。,0
21,【定點模式】,在低速模式下固定浮游炮位置。,0
22,【駭客焰火】,對整個版面進行大範圍攻擊。,0
23,【作弊屏障】,在自機周圍展開屏障。,0
24,【護盾強化】（適合新手玩家）,護盾被破壞時活力等級減少數變少。,0
25,【射擊強化】,高速模式下的射擊攻擊力提升。,0
26,【導彈強化】,低速模式下的導彈攻擊力提升。,0
27,【雙重強化】（適合熟練玩家）,射擊和導彈的攻擊力均提升，但護盾不會展開。,0
28,這樣的裝備可以嗎？,NULL,0
29,這樣就好嗎？不需要再考慮一下……？,NULL,0
30,確認就這樣開始作戰嗎？,NULL,0
31,設置背景音樂的音量。,NULL,0
32,設置音效的音量。,NULL,0
33,設置文本語言。,NULL,0
34,設置資料顯示。,NULL,0
35,打開遊戲設置。,NULL,0
36,打開顯示設定。,NULL,0
37,打開鍵位設置菜單。,NULL,0
38,遊玩新手教程。,NULL,0
39,保存設置並返回。,NULL,0
40,CONSUMER：按住低速鍵進入低速模式,ARCADE：連打射擊鍵/按住連射鍵為高速模式，按住射擊鍵進入低速模式,0
41,設置掉落1UP的敵人的數量。,NULL,0
42,使用默認設置。,NULL,0
43,保存設置並返回。,NULL,0
44,空き,NULL,0
45,空き,NULL,0
46,空き,NULL,0
47,空き,NULL,0
48,（滿足一定條件後才能設置）,NULL,0
49,空き,NULL,0
50,向您問好！,這裡是彈幕社交網路 Bulletalk 的小助手。,0
51,現在讓我們開始新手教程。,NULL,0
52,如果您在操作上遇到困難，,我們會在畫面左下角給予您提示。,0
53,可從暫停功能表中的控制設置修改控制器的鍵位設置。,NULL,0
54,現在，請按照螢幕上的指示確認操作。,NULL,0
55,很好。,NULL,0
56,接下來我將說明攻擊的方法。,NULL,0
57,長按射擊鍵或連射鍵即可射擊。,NULL,0
58,連按射擊鍵或長按連射鍵即可射擊。,NULL,0
59,射擊出現的敵人以擊落它們。,NULL,0
60,幹得漂亮。,NULL,0
61,下面我將向您介紹低速模式。,NULL,0
62,按下慢速鍵時，自機移動速度會變慢。,NULL,0
63,按下射擊鍵時，自機移動速度會變慢。,NULL,0
64,在這種狀態下發射的導彈對難以擊破的敵人很有效。,NULL,0
65,請同時利用低速模式和導彈擊落敵人。,NULL,0
66,你很擅長這個。,NULL,0
67,接下來，敵人也會發射彈幕。,NULL,0
68,躲避敵人的彈幕，,避免自機中心可見的圓形標記被擊中。,0
69,如果想看清彈幕間的縫隙，請使用低速模式。,NULL,0
70,所以，接下來請試著躲避所有的,彈幕並擊落所有敵人。,0
71,被擊中了。我們再試一次，直到找到竅門為止。,NULL,0
72,做得非常好。,NULL,0
73,以下是針對我們到目前為止學到的東西所做的總結。,NULL,0
74,接下來是關於活力計的說明。,NULL,0
75,擊中和擊落敵人會累積玩家周圍的活力計。,NULL,0
76,距離敵人越近，活力計累積得越快。,NULL,0
77,請持續擊落敵人直到活力計填滿為止。,NULL,0
78,當活力計填滿時，活力等級就會上升。,NULL,0
79,當你的活力等級提高時，,如果你被敵人的彈幕擊中時會發生什麼？,0
80,護盾發動，生命值不會減少。,NULL,0
81,但是活力等級會下降，,所以最好盡可能保持在1級以上。,0
82,下面我將介紹一些強力的技能。,NULL,0
83,我將會給您提升活力等級的道具，,請試著獲得後按下炸彈鍵。,0
84,扔雷前請不要中彈。我會再給你一次那個道具。,NULL,0
85,炸彈發動了。它可以消彈並讓你無敵。,NULL,0
86,以下是針對我們到目前為止學到的,東西所做的總結。,0
87,有各種類型的射擊和炸彈可供組合，,請根據自己的喜好選擇和嘗試。,0
88,最後，我要做一個重要的說明。,NULL,0
89,你在遊戲過程中可以獲得其他用户的點贊。,NULL,0
90,並且他們可以關注你，成為你的粉絲。,NULL,0
91,它們以數位的形式展示在螢幕右側。,NULL,0
92,只要持續不被擊中，點贊與粉絲數便會不斷增長，,而這會填滿你的熱度計，開啟高光時刻。,0
93,可能會發生一些有趣的事情。,NULL,0
94,那麼就來享受彈幕生活吧！,NULL,0
95,空き,NULL,0
96,【Auto Fever】 ,當熱度計被填滿時，自動開啟高光時刻（Fever）。,0
97,【Manual Fever】 ,當熱度計被填滿時，按下炸彈鍵開啟高光時刻（Fever）。,0
98,空き,NULL,0
99,空き,NULL,0
100,我只是實話實說罷了！,你卻在逼我幹掉你們所有人！,0
101,那個小鬼頭一樣的彈幕女王……,真是狂妄啊……,0
102,彈幕女王和她那狡猾的小把戲……！,我要永遠驅逐她！,0
103,我找到了一隻可愛的小兔子！,你就是被通緝的那個傢伙吧？,0
104,那只討厭的的假小子貓咪，一副賊頭賊腦的樣子，,一看就知道不懷好意！,0
105,我遇到了一隻熊貓！,……或者只是一個作弊者？,0
106,你就是這個社區的BOSS吧？,警告你，我很強哦！,0
107,哼……比起你，我可是又強大又有魅力。,NULL,0
108,能用的為什麼不用？,這跟彈幕女王做的事比起來可算不了什麼。,0
109,就算是我軟軟糯糯寧寧醬，居然也會輸掉~,NULL,0
110,哇~看起來好好吃~！,可惜我正在節食呢…嘿嘿。,0
111,多麼可愛的社區啊……,我可能會在這裡屈服於誘惑……,0
112,都是甜到發膩的點心啊……,我只要有薯條就能滿意了。,0
113,今天的甜點是棉花糖蛋糕！,那就吃掉你的心吧！,0
