relative_path,category,extension,size_bytes,sha256,width,height,duration_seconds,encoding,line_count
effect/Effect_l.png,effect,.png,1928913,1b3424576cc92124693d8627759fd6a5d18149dd68b50041e9dcf0d476bc3a15,6000,1800,,,
effect/Effect_m.png,effect,.png,286877,b3af07ea0dd042688963260ffb511d60d890931115d1c60480c76110366ee605,2000,600,,,
effect/Effect_s.png,effect,.png,47871,00f202122aef06e6cc4ea866dea8a7bffe11df50b8d067fcc7582de7bcff8c44,1000,200,,,
gallery/Achievement.png,gallery,.png,35172,6bc68512a4c0f62fa717af3f0b6ab18941182113e4ae2c1c24acb7db8e912ee4,500,100,,,
gallery/EnemyList.png,gallery,.png,1107220,6d3b6efc82ab16c2d6cc5e7e82e6ef6a53c60a9e575f4fa7095b959da99f1c46,1280,4160,,,
gallery/EnemyListPic.png,gallery,.png,8103101,8311a731fbfe69b25ed3769599357b1c4bbf5602755df3e23d5a286a8a6593ce,6000,6600,,,
gallery/EnemyListWindow.png,gallery,.png,23193,75087f87a561ef5504a157e236d5f033924295ff207f62db8eba86b70df2d496,1280,720,,,
gallery/GalleryFrame.png,gallery,.png,601,c30044dc84552f470d8ff1dd4c5da18dace2e58ded31bed981962e0a9202bd77,178,105,,,
gallery/GalleryPic.png,gallery,.png,13160098,28d7fef3d1013306cd75a90619c0de8d0f8f9826c85320e78121189c207c03f3,6400,2880,,,
gallery/GalleryPic_ch1.png,gallery,.png,13618772,a82805eb1d0ee780a099498c9aeb7a3205d02436b4d66788804e4b66e1b9f6f2,6400,2880,,,
gallery/GalleryPic_ch2.png,gallery,.png,13617523,7c1d86801360e1fd69d730bdca07782b68fcafdba3de0a4e30abcb681d7e3650,6400,2880,,,
gallery/GalleryPic_eng.png,gallery,.png,13254049,44fa5af8259f2a4386524b57ee7f503916da319e565753862e75feb36fe31275,6400,2880,,,
gallery/NoticeFrame.png,gallery,.png,463,75697da59ad271d4eeff3ad294a78d316bf0fed48321c300966ecc051fe59b0d,240,86,,,
gallery/NoticeText1.png,gallery,.png,5355,a0bb656a0872be858f919756dfc6b8b24ffd82ab8d9483e2e2df58fe741ad53f,140,80,,,
gallery/NoticeText2.png,gallery,.png,26862,83c67f80496a3947505bde951f05833fb7a932de29e353f6ba82604d3397193a,140,500,,,
gallery/NoticeText2_ch1.png,gallery,.png,38388,dbd21932afa24aea6ab7d2e5515e7c0f4c662ae355629fc9fd72365e68ce213c,140,500,,,
gallery/NoticeText2_ch2.png,gallery,.png,39118,c86aae03333c9fc5bf9b4096d8b629a5f2b4d2d91906f99df39fa952bebb42f3,140,500,,,
gallery/NoticeText2_eng.png,gallery,.png,25242,29f73709f190e42621da844783c49d24091f0f03b11bdd75e8288570201e4e2a,140,500,,,
gallery/NoticeText3.png,gallery,.png,66911,cf2b85d8039498e040ef15a0159621e53b5b7c25ee5ad00df7afdd168a46bc8c,140,1250,,,
gallery/NoticeText3_ch1.png,gallery,.png,89981,70b02f2fd9fd56ba56ed4b9876663c9fe7db1dff95b741d50f6fe97a3f745696,140,1250,,,
gallery/NoticeText3_ch2.png,gallery,.png,90513,22779e3ca9df2835be553274b023953ab0ec8240db3ca984cd430d1e5ae374f1,140,1250,,,
gallery/NoticeText3_eng.png,gallery,.png,64763,a5ad6c803be58bf819bbbec0e2de616b0177ca8af84025c58f2541116aa0dd83,140,1250,,,
player/DataWindow.png,player,.png,26650,81f1e91eba4e1b80898d95a4aa8db78c7bd89408b30237f50eb1941279fdbac7,340,380,,,
player/DataWindow2.png,player,.png,10149,b0cd68f288ad82189ebabe6e280cfdd92e9e671d13aee0c01a32c34f75e34390,600,60,,,
player/DreamGauge.png,player,.png,15415,755afaefb8538ac8c2b50f06764c2349a5f7c9810f32296e7ce2e63160a5e570,320,160,,,
player/Item.png,player,.png,41779,3b98c0ab4bbbf2f47f9ba1ae085cbf7e4002b56f02dff4116baa59cd20270949,1500,100,,,
player/PauseBack.png,player,.png,1523486,cb2dd4b1685bc6759c2dc0375591b34d330f2f66368835427c73f3d8eaf5164e,3000,1440,,,
player/PauseCount.png,player,.png,45562,00956fbfa69089613c6b25a32cf4425ac27bea31de836f6dc0623ebde2e3dc93,1280,320,,,
player/PauseMenu.png,player,.png,177674,812cb0477baa845a9b26f8f5078db090c03f2173305fcf55ce67e775c32d59dc,480,2400,,,
player/PauseMenu_ch1.png,player,.png,197205,c95a0276d35aa71223318fb80eab107453104eb488dd68ce6dd2ee09547372b0,480,2400,,,
player/PauseMenu_ch2.png,player,.png,197941,184d784223c3d13d9452000b65c07c9daca793c2973201b52787e08e95a8c01c,480,2400,,,
player/PauseMenu_eng.png,player,.png,148878,7480a874025bd55bd5707632e6b53305a8c4d5dbd78e97365d1eef934bd92345,480,2400,,,
player/Player.png,player,.png,331790,0dbd867ed046321ef3c09423beac7409585a9d3c1c68044007130d7bd84c1d2f,1200,640,,,
player/PlayerFrame.png,player,.png,1329627,10b61fcaf6705c03f65bd4664ff658d82ac278f42f9baf920f35d48223eb7874,3400,2160,,,
player/Result.png,player,.png,44652,67ab617130331a1cdca127451d77678c3e42fdf6b3fb809d813116126cf7ad08,240,1200,,,
player/StageClear.png,player,.png,212577,f1dc4a671c9551d1758f2fc4155f77e7560d0074ae6855e4fe46192719d0c807,6400,720,,,
player/State.png,player,.png,44107,676036f5f9b5334802fd5f6e29766288564c3e7b8361e6a562c633ae038ac209,200,1280,,,
player/TimeWindow.png,player,.png,15200,3e66e9f7dc1841100c35177169f6708b0f47ee97bacd8c398da7cded44050472,340,340,,,
player/Unlock.png,player,.png,202696,6b99facebd11ad844ec439fe7208414f036cfd3008287e5cb9bed45b77c41a3e,700,2430,,,
player/Unlock_ch1.png,player,.png,225851,1bc20d823c3da01e3d9dfa62a2f3666dd63bb3643a00bab1ab795acb004b84ff,700,2430,,,
player/Unlock_ch2.png,player,.png,227346,01c3667f05ba23df6bf956934fcb3b336d9e1bfdb0ce358d207a5bc9e9a836e7,700,2430,,,
player/Unlock_eng.png,player,.png,144827,c78748460958560a95fe35900be57060c877e2f50784085039efc22b9f9ababc,700,2430,,,
stage/Boss.png,stage,.png,3076542,e638ca3e1d151caf940322b9f3335c777887b3bc0aaa013549861bc2e98805ee,2000,3200,,,
stage/BossApproach1.png,stage,.png,117969,36b6aa21e065d338265080d16fd26e1d2751b560d446725b4bb63bb0ed720a0b,400,1400,,,
stage/BossApproach1_ch1.png,stage,.png,114080,8468f1e17f0c580c0177927cee7118ff5d2b1d515f1f391bdb77f73800dce14d,400,1400,,,
stage/BossApproach1_ch2.png,stage,.png,115441,0143ece8991b2bd5d747f58ccec7af31cc356d3e0568ea7653a641ad0b680089,400,1400,,,
stage/BossApproach2.png,stage,.png,7870,0497747420409b956de71cbb80916549b0c7fd2fe1fbe9c862440f92c3cbb8f5,600,150,,,
stage/BossGauge.png,stage,.png,12653,4a4e56a58a5a489118f76a709e9202d69e4e8618f0aee36421414e39dcb0da58,500,300,,,
stage/BossName.png,stage,.png,47834,f6ec4a4381a21c757702cf250069b3504e78aeeb6b365468c05482dde6513a20,400,660,,,
stage/Bullet.png,stage,.png,41010,91faaf086ba18d6825419d8d05d51f64bae4662985802af07c7426334b10386d,600,240,,,
stage/EnemyGauge1.png,stage,.png,395,00dc380a26564bbe45805a6c0599b8d6e38fe3846935684a34a6104b66459efe,246,48,,,
stage/EnemyGauge2.png,stage,.png,135,162ff58121c39b8b9263cfa96a57fb6e44c512c5c789796ca1b3e1bbc21d3cc3,240,10,,,
stage/Enemy_l.png,stage,.png,8470100,17257a82933233312b34d0b70a09ef6a950962aef4af0e00f8d7c40efd904239,6000,6600,,,
stage/Enemy_m.png,stage,.png,2990920,d8827eb7e9ff76f81a84f0345877a335d6ba9ce9206a9e4a8746789be4c65b30,2000,4600,,,
stage/Enemy_s.png,stage,.png,830788,9b2b70a7e62a1c906c6a3f9e361e11980bb3f666e0f8ae9309e57e3bbb6c2e7e,1000,1700,,,
stage/Enemy_xl.png,stage,.png,466585,9eff4f363b88b8947f0bb293075f28be87c75a1315ee6901bff0264da9591f61,3200,1600,,,
stage/Stage2Back.png,stage,.png,2700162,b403ff14d5616d93ccc3af4e798a350503ef955f3d7fbaabc71792d1af1aa235,720,8400,,,
stage/Stage3Back.png,stage,.png,369488,8d3c8bec51d396c058822a42dbece6887114031ad0bf76bbf151ab4206b933a2,720,7400,,,
stage/Stage6Back.png,stage,.png,2303991,e467b31cc05a4471390a43215a4c0d8808ae3ff542b9beca8ecfcdc42d70da3f,720,10550,,,
stage/Stage8Back1.png,stage,.png,4263297,58db34f9ce86a57f538650d3819bf7678dfda7d45834cb6044b41d6939e46495,720,5700,,,
